date,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,target,outcome,points_pnl,dollar_pnl,tokyo_high,tokyo_low,year,month,weekday,hour,cumulative_pnl,cumulative_max,drawdown
2024-11-12,bullish,2024-11-12 01:50:00,21875.429498999998,2024-11-12 04:00:00,21846.465136,21845.965136,21919.398268,loss,-28.96436299999914,-579.2872599999828,21919.398268,21858.022508,2024,11,Tuesday,1,19179.98666999989,23066.895619999814,-3886.9089499999245
2024-11-21,bullish,2024-11-21 08:35:00,21332.976097,2024-11-21 08:40:00,21356.459062,21253.611694,21356.959062,win,23.482965000002878,469.65930000005756,21356.959062,21270.310931,2024,11,Thursday,8,19649.645969999947,23066.895619999814,-3417.249649999867
2024-12-10,bullish,2024-12-10 02:40:00,22135.760713,2024-12-10 03:05:00,22127.555798,22127.055798,22162.322491,loss,-8.204914999998437,-164.09829999996873,22162.322491,22129.055798,2024,12,Tuesday,2,19485.547669999978,23066.895619999814,-3581.3479499998357
2024-12-18,bearish,2024-12-18 02:55:00,22736.3663575,2024-12-18 03:40:00,22746.634323,22747.134323,22678.343056,loss,-10.267965499999264,-205.35930999998527,22736.624239,22678.343056,2024,12,Wednesday,2,19280.188359999993,23066.895619999814,-3786.707259999821
2025-01-24,bullish,2025-01-24 03:40:00,22683.323723,2025-01-24 08:45:00,22741.073327,22654.518596,22741.573327,win,57.74960399999691,1154.9920799999381,22741.573327,22659.869237,2025,1,Friday,3,20435.18043999993,23066.895619999814,-2631.715179999883
2025-01-30,bearish,2025-01-30 03:40:00,22327.511429,2025-01-30 06:20:00,22247.209434,22363.662192,22246.709434,win,80.30199499999799,1606.0398999999597,22351.352528,22246.709434,2025,1,Thursday,3,22041.22033999989,23066.895619999814,-1025.675279999923
2025-01-31,bearish,2025-01-31 03:00:00,22440.4022545,2025-01-31 03:30:00,22470.124961,22470.624961,22351.352528,loss,-29.72270650000064,-594.4541300000128,22462.439162,22351.352528,2025,1,Friday,3,21446.766209999878,23066.895619999814,-1620.129409999936
2025-02-19,bullish,2025-02-19 02:45:00,22955.241123,2025-02-19 03:50:00,22934.410502,22933.910502,22981.530767,loss,-20.830621000000974,-416.6124200000195,22981.530767,22941.580818,2025,2,Wednesday,2,21030.15378999986,23066.895619999814,-2036.7418299999554
2025-02-21,bullish,2025-02-21 02:40:00,22817.091619500003,2025-02-21 03:00:00,22846.231905,22786.224559,22846.731905,win,29.140285499997844,582.8057099999569,22846.731905,22796.214549,2025,2,Friday,2,21612.959499999815,23066.895619999814,-1453.9361199999985
2025-03-05,bearish,2025-03-05 02:05:00,21179.5302925,2025-03-05 02:25:00,21216.212022,21216.712022,21073.469619,loss,-36.681729500000074,-733.6345900000015,21204.660099,21073.469619,2025,3,Wednesday,2,20879.324909999814,23066.895619999814,-2187.57071
2025-03-11,bearish,2025-03-11 02:05:00,20072.2723305,2025-03-11 03:10:00,20125.707265,20126.207265,19731.924533,loss,-53.43493450000096,-1068.6986900000193,20098.690846,19731.924533,2025,3,Tuesday,2,19810.626219999795,23066.895619999814,-3256.2694000000192
2025-03-12,bullish,2025-03-12 03:10:00,20064.411211500003,2025-03-12 03:35:00,20103.087936,20026.069644,20103.587936,win,38.67672449999736,773.5344899999473,20103.587936,20037.348342,2025,3,Wednesday,3,20584.16070999974,23066.895619999814,-2482.734910000072
2025-03-13,bullish,2025-03-13 02:25:00,20088.381181,2025-03-13 02:50:00,20035.332859,20034.832859,20303.853168,loss,-53.04832200000237,-1060.9664400000474,20303.853168,20065.699919,2025,3,Thursday,2,19523.194269999694,23066.895619999814,-3543.7013500001194
2025-03-19,bullish,2025-03-19 03:40:00,20132.7905275,2025-03-19 08:30:00,20195.02698,20098.14717,20195.52698,win,62.23645249999754,1244.7290499999508,20195.52698,20102.442406,2025,3,Wednesday,3,20767.923319999645,23066.895619999814,-2298.9723000001686
2025-04-03,bearish,2025-04-03 04:15:00,19498.157759499998,2025-04-03 07:45:00,19259.825697,19561.491567,19259.325697,win,238.33206249999785,4766.641249999957,19535.264076,19259.325697,2025,4,Thursday,4,25534.564569999602,25534.564569999602,0.0
2025-04-14,bearish,2025-04-14 02:20:00,19492.4196695,2025-04-14 02:50:00,19542.374653,19542.874653,19337.618749,loss,-49.9549834999998,-999.099669999996,19516.137109,19337.618749,2025,4,Monday,2,24535.464899999606,25534.564569999602,-999.099669999996
2025-05-01,bullish,2025-05-01 03:00:00,20344.079757,2025-05-01 03:35:00,20368.189788,20299.362864,20368.689788,win,24.110031000000163,482.20062000000325,20368.689788,20307.228467,2025,5,Thursday,3,25017.66551999961,25534.564569999602,-516.8990499999927
2025-05-20,bullish,2025-05-20 02:25:00,21890.303776,2025-05-20 03:15:00,21844.811752,21844.311752,21995.757122,loss,-45.49202399999922,-909.8404799999844,21995.757122,21850.647198,2025,5,Tuesday,2,24107.825039999625,25534.564569999602,-1426.739529999977
2025-05-23,bearish,2025-05-23 04:50:00,21597.0236145,2025-05-23 06:15:00,21566.537928,21641.995534,21566.037928,win,30.485686500000156,609.7137300000031,21634.895009,21566.037928,2025,5,Friday,4,24717.538769999628,25534.564569999602,-817.025799999974
2025-06-10,bullish,2025-06-10 02:25:00,22245.172772500002,2025-06-10 02:30:00,22226.075963,22225.575963,22415.02024,loss,-19.096809500002564,-381.9361900000513,22415.02024,22253.843664,2025,6,Tuesday,2,24335.602579999577,25534.564569999602,-1198.9619900000253
2025-06-12,bullish,2025-06-12 04:40:00,22258.051596999998,2025-06-12 06:50:00,22186.801924,22186.301924,22288.272205,loss,-71.24967299999844,-1424.9934599999688,22288.272205,22191.362238,2025,6,Thursday,4,22910.609119999608,25534.564569999602,-2623.955449999994
2025-06-17,bearish,2025-06-17 02:00:00,22298.551036999997,2025-06-17 02:25:00,22225.959245,22343.345713,22225.459245,win,72.59179199999926,1451.8358399999852,22336.043718,22225.459245,2025,6,Tuesday,2,24362.444959999593,25534.564569999602,-1172.1196100000088
2025-07-30,bearish,2025-07-30 02:05:00,23730.9734275,2025-07-30 03:00:00,23743.077418,23743.577418,23698.656504,loss,-12.103990499999782,-242.07980999999563,23740.567514,23698.656504,2025,7,Wednesday,2,24120.365149999598,25534.564569999602,-1414.1994200000045
2025-07-31,bearish,2025-07-31 04:40:00,24029.2737805,2025-07-31 08:30:00,23947.340378,24053.365428,23946.840378,win,81.93340249999892,1638.6680499999784,24044.801053,23946.840378,2025,7,Thursday,4,25759.033199999576,25759.033199999576,0.0
2025-08-22,bullish,2025-08-22 03:00:00,23421.6903695,2025-08-22 03:20:00,23479.764794,23405.29924,23480.264794,win,58.07442449999871,1161.4884899999743,23480.264794,23410.581427,2025,8,Friday,3,26920.52168999955,26920.52168999955,0.0
2025-10-28,bullish,2025-10-28 03:35:00,25954.5,2025-10-28 06:20:00,25995.0,25947.5,25995.5,win,40.5,810.0,25995.5,25956.0,2025,10,Tuesday,3,27730.52168999955,27730.52168999955,0.0
